SKU,Category,,Customer,State Code,State,,Ship Mode,Sort Order,,Order Priority,Sort Order
SKU1037,Accessories,,C141,NY,New York,,,,,,
SKU1038,Clothing,,C142,NY,New York,,,,,,
SKU1039,Clothing,,C143,MT,Montana,,,,,,
SKU104,Components,,C144,FL,Florida,,,,,,
SKU1040,Components,,C145,VA,Virginia,,,,,,
SKU1041,Components,,C146,NY,New York,,,,,,
SKU1042,Components,,C147,IL,Illinois,,,,,,
SKU1043,Bikes,,C148,NV,Nevada,,,,,,
SKU1044,Components,,C149,MI,Michigan,,,,,,
SKU1045,Components,,C150,ID,Idaho,,,,,,
SKU1046,Components,,C151,CA,California,,,,,,
SKU1047,Components,,C152,ME,Maine,,,,,,
SKU1048,Components,,C153,AL,Alabama,,,,,,
SKU1049,Bikes,,C154,IN,Indiana,,,,,,
SKU105,Clothing,,C155,WA,Washington,,,,,,
SKU1050,Components,,C156,LA,Louisiana,,,,,,
SKU1051,Components,,C157,SC,South Carolina,,,,,,
SKU1052,Accessories,,C158,FL,Florida,,,,,,
SKU1053,Clothing,,C159,MO,Missouri,,,,,,
SKU1054,Components,,C160,WV,West Virginia,,,,,,
SKU1055,Components,,C161,MO,Missouri,,,,,,
SKU1056,Clothing,,C162,MT,Montana,,,,,,
SKU1057,Components,,C163,FL,Florida,,,,,,
SKU1058,Bikes,,C164,AZ,Arizona,,,,,,
SKU1059,Bikes,,C165,NC,North Carolina,,,,,,
SKU106,Accessories,,C166,WV,West Virginia,,,,,,
SKU1060,Components,,C167,CA,California,,,,,,
SKU1061,Components,,C168,ND,North Dakota,,,,,,
SKU1062,Accessories,,C169,NY,New York,,,,,,
SKU1063,Components,,C170,WI,Wisconsin,,,,,,
SKU1064,Components,,C171,VA,Virginia,,,,,,
SKU1065,Bikes,,C172,DE,Delaware,,,,,,
SKU1066,Components,,C173,WV,West Virginia,,,,,,
SKU1067,Components,,C174,CO,Colorado,,,,,,
SKU1068,Components,,C175,VT,Vermont,,,,,,
SKU1069,Components,,C176,MO,Missouri,,,,,,
SKU107,Accessories,,C177,NM,New Mexico,,,,,,
SKU1070,Bikes,,C178,MA,Massachusetts,,,,,,
SKU1071,Bikes,,C179,NJ,New Jersey,,,,,,
SKU1072,Bikes,,C180,ID,Idaho,,,,,,
SKU1073,Components,,C181,MA,Massachusetts,,,,,,
SKU1074,Bikes,,C182,AZ,Arizona,,,,,,
SKU1075,Bikes,,C183,LA,Louisiana,,,,,,
SKU1076,Bikes,,C184,CO,Colorado,,,,,,
SKU1077,Bikes,,C185,AL,Alabama,,,,,,
SKU1078,Components,,C186,NJ,New Jersey,,,,,,
SKU1079,Bikes,,C187,CA,California,,,,,,
SKU108,Clothing,,C188,CA,California,,,,,,
SKU1080,Bikes,,C189,DE,Delaware,,,,,,
SKU1081,Bikes,,C190,MD,Maryland,,,,,,
SKU1082,Components,,C191,FL,Florida,,,,,,
SKU1083,Components,,C192,IN,Indiana,,,,,,
SKU1084,Bikes,,C193,NY,New York,,,,,,
SKU1085,Components,,C194,IA,Iowa,,,,,,
SKU1086,Components,,C195,PA,Pennsylvania,,,,,,
SKU1087,Accessories,,C196,NV,Nevada,,,,,,
SKU1088,Components,,C197,NH,New Hampshire,,,,,,
SKU1089,Components,,C198,MA,Massachusetts,,,,,,
SKU109,Accessories,,C199,SC,South Carolina,,,,,,
SKU1090,Bikes,,C200,TN,Tennessee,,,,,,
SKU1091,Components,,C201,NV,Nevada,,,,,,
SKU1092,Components,,C202,NC,North Carolina,,,,,,
SKU1093,Components,,C203,WA,Washington,,,,,,
SKU1094,Components,,C204,NY,New York,,,,,,
SKU1095,Bikes,,C205,ID,Idaho,,,,,,
SKU1096,Bikes,,C206,TX,Texas,,,,,,
SKU1097,Components,,C207,NV,Nevada,,,,,,
SKU1098,Bikes,,C208,IA,Iowa,,,,,,
SKU1099,Bikes,,C209,CT,Connecticut,,,,,,
SKU110,Components,,C210,OR,Oregon,,,,,,
SKU1100,Bikes,,C211,OR,Oregon,,,,,,
SKU1101,Bikes,,C212,CT,Connecticut,,,,,,
SKU1102,Accessories,,C213,NH,New Hampshire,,,,,,
SKU1103,Components,,C214,RI,Rhode Island,,,,,,
SKU1104,Bikes,,C215,NC,North Carolina,,,,,,
SKU1105,Bikes,,C216,MD,Maryland,,,,,,
SKU1106,Bikes,,C217,NV,Nevada,,,,,,
SKU1107,Components,,C218,UT,Utah,,,,,,
SKU1108,Components,,C219,GA,Georgia,,,,,,
SKU1109,Bikes,,C220,VT,Vermont,,,,,,
SKU111,Clothing,,C221,NJ,New Jersey,,,,,,
SKU1110,Components,,C222,AZ,Arizona,,,,,,
SKU1111,Bikes,,C223,CO,Colorado,,,,,,
SKU1112,Bikes,,C224,AL,Alabama,,,,,,
SKU1113,Bikes,,C225,MA,Massachusetts,,,,,,
SKU1114,Components,,C226,CA,California,,,,,,
SKU1115,Bikes,,C227,IN,Indiana,,,,,,
SKU1116,Bikes,,C228,NM,New Mexico,,,,,,
SKU1117,Bikes,,C229,WA,Washington,,,,,,
SKU1118,Bikes,,C230,IN,Indiana,,,,,,
SKU1119,Components,,C231,NC,North Carolina,,,,,,
SKU112,Accessories,,C232,ID,Idaho,,,,,,
SKU1120,Bikes,,C233,KY,Kentucky,,,,,,
SKU1121,Bikes,,C234,IN,Indiana,,,,,,
SKU1122,Bikes,,C235,NH,New Hampshire,,,,,,
SKU1123,Bikes,,C236,OH,Ohio,,,,,,
SKU1124,Components,,C237,MD,Maryland,,,,,,
SKU1125,Bikes,,C238,RI,Rhode Island,,,,,,
SKU1126,Bikes,,C239,MO,Missouri,,,,,,
SKU1127,Bikes,,C240,OR,Oregon,,,,,,
SKU1128,Bikes,,C241,GA,Georgia,,,,,,
SKU1129,Bikes,,C242,CT,Connecticut,,,,,,
SKU113,Accessories,,C243,GA,Georgia,,,,,,
SKU1130,Bikes,,C244,LA,Louisiana,,,,,,
SKU1131,Bikes,,C245,DE,Delaware,,,,,,
SKU1132,Accessories,,C246,CA,California,,,,,,
SKU1133,Accessories,,C247,WI,Wisconsin,,,,,,
SKU1134,Bikes,,C248,MO,Missouri,,,,,,
SKU1135,Components,,C249,DE,Delaware,,,,,,
SKU1136,Components,,C250,NM,New Mexico,,,,,,
SKU1137,Components,,C251,NM,New Mexico,,,,,,
SKU1138,Components,,C252,MO,Missouri,,,,,,
SKU1139,Bikes,,C253,CT,Connecticut,,,,,,
SKU114,Components,,C254,VT,Vermont,,,,,,
SKU1140,Bikes,,C255,ID,Idaho,,,,,,
SKU1141,Bikes,,C256,CO,Colorado,,,,,,
SKU1142,Components,,C257,FL,Florida,,,,,,
SKU1143,Components,,C258,ME,Maine,,,,,,
SKU1144,Components,,C259,TX,Texas,,,,,,
SKU1145,Components,,C260,NC,North Carolina,,,,,,
SKU1146,Bikes,,C261,CO,Colorado,,,,,,
SKU1147,Bikes,,C262,CT,Connecticut,,,,,,
SKU1148,Components,,C263,AZ,Arizona,,,,,,
SKU1149,Components,,C264,WI,Wisconsin,,,,,,
SKU115,Components,,C265,MI,Michigan,,,,,,
SKU1150,Components,,C266,PA,Pennsylvania,,,,,,
SKU1151,Components,,C267,NV,Nevada,,,,,,
SKU1152,Bikes,,C268,MD,Maryland,,,,,,
SKU1153,Components,,C269,MN,Minnesota,,,,,,
SKU1154,Components,,C270,NM,New Mexico,,,,,,
SKU1155,Bikes,,C271,CT,Connecticut,,,,,,
SKU1156,Components,,C272,ID,Idaho,,,,,,
SKU1157,Components,,C273,OH,Ohio,,,,,,
SKU1158,Components,,C274,NJ,New Jersey,,,,,,
SKU1159,Components,,C275,ID,Idaho,,,,,,
SKU116,Components,,C276,ID,Idaho,,,,,,
SKU1160,Components,,C277,PA,Pennsylvania,,,,,,
SKU1161,Components,,C278,WI,Wisconsin,,,,,,
SKU1162,Components,,C279,LA,Louisiana,,,,,,
SKU1163,Accessories,,C280,MA,Massachusetts,,,,,,
SKU1164,Accessories,,C281,WA,Washington,,,,,,
SKU1165,Components,,C282,UT,Utah,,,,,,
SKU1166,Components,,C283,WA,Washington,,,,,,
SKU1167,Components,,C284,GA,Georgia,,,,,,
SKU1168,Components,,C285,MT,Montana,,,,,,
SKU1169,Components,,C286,NM,New Mexico,,,,,,
SKU117,Components,,C287,CO,Colorado,,,,,,
SKU1170,Bikes,,C288,ME,Maine,,,,,,
SKU1171,Components,,C289,IN,Indiana,,,,,,
SKU1172,Components,,C290,OR,Oregon,,,,,,
SKU1173,Components,,C291,RI,Rhode Island,,,,,,
SKU1174,Bikes,,C292,VA,Virginia,,,,,,
SKU1175,Bikes,,C293,WA,Washington,,,,,,
SKU1176,Bikes,,C294,MT,Montana,,,,,,
SKU1177,Accessories,,C295,MI,Michigan,,,,,,
SKU1178,Components,,C296,OK,Oklahoma,,,,,,
SKU1179,Components,,C297,OR,Oregon,,,,,,
SKU118,Components,,C298,KY,Kentucky,,,,,,
SKU1180,Components,,C299,SC,South Carolina,,,,,,
SKU1181,Accessories,,C300,NJ,New Jersey,,,,,,
SKU1182,Components,,C301,ME,Maine,,,,,,
SKU1183,Components,,C302,KY,Kentucky,,,,,,
SKU1184,Components,,C303,IL,Illinois,,,,,,
SKU1185,Components,,C304,NV,Nevada,,,,,,
SKU1186,Components,,C305,WI,Wisconsin,,,,,,
SKU1187,Components,,C306,DE,Delaware,,,,,,
SKU1188,Components,,C307,MN,Minnesota,,,,,,
SKU1189,Components,,C308,MD,Maryland,,,,,,
SKU119,Components,,C309,IA,Iowa,,,,,,
SKU1190,Accessories,,C310,KS,Kansas,,,,,,
SKU1191,Components,,C311,IA,Iowa,,,,,,
SKU1192,Components,,C312,NV,Nevada,,,,,,
SKU1193,Components,,C313,VA,Virginia,,,,,,
SKU1194,Components,,C314,VT,Vermont,,,,,,
SKU1195,Bikes,,C315,UT,Utah,,,,,,
SKU1196,Accessories,,C316,IA,Iowa,,,,,,
SKU1197,Components,,C317,OR,Oregon,,,,,,
SKU1198,Components,,C318,MD,Maryland,,,,,,
SKU1199,Components,,C319,KY,Kentucky,,,,,,
SKU120,Components,,C320,FL,Florida,,,,,,
SKU1200,Components,,C321,WI,Wisconsin,,,,,,
SKU1201,Bikes,,C322,GA,Georgia,,,,,,
SKU1202,Components,,C323,WV,West Virginia,,,,,,
SKU1203,Components,,C324,WI,Wisconsin,,,,,,
SKU1204,Components,,C325,MD,Maryland,,,,,,
SKU1205,Bikes,,C326,GA,Georgia,,,,,,
SKU1206,Components,,C327,MO,Missouri,,,,,,
SKU1207,Components,,C328,NJ,New Jersey,,,,,,
SKU1208,Components,,C329,AL,Alabama,,,,,,
SKU1209,Components,,C330,ND,North Dakota,,,,,,
SKU121,Components,,C331,VA,Virginia,,,,,,
SKU1210,Components,,C332,AZ,Arizona,,,,,,
SKU1211,Bikes,,C333,GA,Georgia,,,,,,
SKU1212,Components,,C334,MN,Minnesota,,,,,,
SKU1213,Bikes,,C335,LA,Louisiana,,,,,,
SKU1214,Accessories,,C336,IN,Indiana,,,,,,
SKU1215,Components,,C337,NM,New Mexico,,,,,,
SKU1216,Components,,C338,KY,Kentucky,,,,,,
SKU1217,Components,,C339,MI,Michigan,,,,,,
SKU1218,Components,,C340,AL,Alabama,,,,,,
SKU1219,Components,,C341,UT,Utah,,,,,,
SKU122,Accessories,,C342,PA,Pennsylvania,,,,,,
SKU1220,Components,,C343,WI,Wisconsin,,,,,,
SKU1221,Bikes,,C344,IL,Illinois,,,,,,
SKU1222,Bikes,,C345,WA,Washington,,,,,,
SKU1223,Bikes,,C346,TN,Tennessee,,,,,,
SKU1224,Bikes,,C347,ME,Maine,,,,,,
SKU1225,Bikes,,C348,OK,Oklahoma,,,,,,
SKU1226,Components,,C349,WI,Wisconsin,,,,,,
SKU1227,Accessories,,C350,IL,Illinois,,,,,,
SKU1228,Bikes,,C351,VA,Virginia,,,,,,
SKU1229,Bikes,,C352,MO,Missouri,,,,,,
SKU123,Components,,C353,KS,Kansas,,,,,,
SKU1230,Components,,C354,CT,Connecticut,,,,,,
SKU1231,Bikes,,C355,SC,South Carolina,,,,,,
SKU1232,Components,,C356,CT,Connecticut,,,,,,
SKU1233,Bikes,,C357,ND,North Dakota,,,,,,
SKU1234,Components,,C358,MI,Michigan,,,,,,
SKU1235,Bikes,,C359,WA,Washington,,,,,,
SKU1236,Bikes,,C360,TX,Texas,,,,,,
SKU1237,Bikes,,C361,NJ,New Jersey,,,,,,
SKU1238,Bikes,,C362,OK,Oklahoma,,,,,,
SKU1239,Bikes,,C363,MT,Montana,,,,,,
SKU124,Accessories,,C364,WV,West Virginia,,,,,,
SKU1240,Components,,C365,WI,Wisconsin,,,,,,
SKU1241,Components,,C366,TN,Tennessee,,,,,,
SKU1242,Components,,C367,KS,Kansas,,,,,,
SKU1243,Components,,C368,IN,Indiana,,,,,,
SKU1244,Bikes,,C369,ME,Maine,,,,,,
SKU1245,Components,,C370,ME,Maine,,,,,,
SKU1246,Bikes,,C371,MN,Minnesota,,,,,,
SKU1247,Bikes,,C372,SC,South Carolina,,,,,,
SKU1248,Bikes,,C373,MN,Minnesota,,,,,,
SKU1249,Components,,C374,GA,Georgia,,,,,,
SKU125,Components,,C375,RI,Rhode Island,,,,,,
SKU1250,Components,,C376,KS,Kansas,,,,,,
SKU1251,Bikes,,C377,FL,Florida,,,,,,
SKU1252,Bikes,,C378,OK,Oklahoma,,,,,,
SKU1253,Bikes,,C379,WA,Washington,,,,,,
SKU1254,Components,,C380,RI,Rhode Island,,,,,,
SKU1255,Bikes,,C381,NC,North Carolina,,,,,,
SKU1256,Components,,C382,KS,Kansas,,,,,,
SKU1257,Components,,C383,KS,Kansas,,,,,,
SKU1258,Components,,C384,IA,Iowa,,,,,,
SKU1259,Components,,C385,MN,Minnesota,,,,,,
SKU126,Components,,C386,IN,Indiana,,,,,,
SKU1260,Bikes,,C387,MN,Minnesota,,,,,,
SKU1261,Components,,C388,MT,Montana,,,,,,
SKU1262,Accessories,,C389,ID,Idaho,,,,,,
SKU1263,Components,,C390,AL,Alabama,,,,,,
SKU127,Components,,C391,NM,New Mexico,,,,,,
SKU128,Bikes,,C392,NV,Nevada,,,,,,
SKU129,Components,,C393,IL,Illinois,,,,,,
SKU130,Components,,C394,WV,West Virginia,,,,,,
SKU131,Components,,C395,TX,Texas,,,,,,
SKU132,Components,,C396,CT,Connecticut,,,,,,
SKU133,Accessories,,C397,IL,Illinois,,,,,,
SKU134,Components,,C398,IN,Indiana,,,,,,
SKU135,Components,,C399,MO,Missouri,,,,,,
SKU136,Clothing,,C400,VA,Virginia,,,,,,
SKU137,Components,,C401,FL,Florida,,,,,,
SKU138,Clothing,,C402,TN,Tennessee,,,,,,
SKU139,Accessories,,C403,TX,Texas,,,,,,
SKU140,Components,,C404,NY,New York,,,,,,
SKU141,Accessories,,C405,NV,Nevada,,,,,,
SKU142,Accessories,,C406,OK,Oklahoma,,,,,,
SKU143,Accessories,,C407,PA,Pennsylvania,,,,,,
SKU144,Accessories,,C408,MT,Montana,,,,,,
SKU145,Accessories,,C409,OH,Ohio,,,,,,
SKU146,Components,,C410,MI,Michigan,,,,,,
SKU147,Clothing,,C411,VT,Vermont,,,,,,
SKU148,Accessories,,C412,MO,Missouri,,,,,,
SKU149,Accessories,,C413,NY,New York,,,,,,
SKU150,Accessories,,C414,IA,Iowa,,,,,,
SKU151,Components,,C415,MT,Montana,,,,,,
SKU152,Accessories,,C416,CO,Colorado,,,,,,
SKU153,Components,,C417,WV,West Virginia,,,,,,
SKU154,Components,,C418,WI,Wisconsin,,,,,,
SKU155,Components,,C419,IA,Iowa,,,,,,
SKU156,Bikes,,C420,GA,Georgia,,,,,,
SKU157,Accessories,,C421,ID,Idaho,,,,,,
SKU158,Components,,C422,CA,California,,,,,,
SKU159,Components,,C423,IL,Illinois,,,,,,
SKU160,Components,,C424,PA,Pennsylvania,,,,,,
SKU161,Accessories,,C425,ID,Idaho,,,,,,
SKU162,Components,,C426,ND,North Dakota,,,,,,
SKU163,Components,,C427,NH,New Hampshire,,,,,,
SKU164,Components,,C428,AL,Alabama,,,,,,
SKU165,Components,,C429,WV,West Virginia,,,,,,
SKU166,Clothing,,C430,OR,Oregon,,,,,,
SKU167,Clothing,,C431,AZ,Arizona,,,,,,
SKU168,Components,,C432,MN,Minnesota,,,,,,
SKU169,Components,,C433,NC,North Carolina,,,,,,
SKU170,Components,,C434,UT,Utah,,,,,,
SKU171,Bikes,,C435,GA,Georgia,,,,,,
SKU172,Accessories,,C436,IA,Iowa,,,,,,
SKU173,Clothing,,C437,RI,Rhode Island,,,,,,
SKU174,Bikes,,C438,CA,California,,,,,,
SKU175,Components,,C439,OH,Ohio,,,,,,
SKU176,Components,,C440,RI,Rhode Island,,,,,,
SKU177,Bikes,,C441,WV,West Virginia,,,,,,
SKU178,Components,,C442,UT,Utah,,,,,,
SKU179,Components,,C443,DE,Delaware,,,,,,
SKU180,Components,,C444,OH,Ohio,,,,,,
SKU181,Components,,C445,CO,Colorado,,,,,,
SKU182,Components,,C446,IA,Iowa,,,,,,
SKU183,Bikes,,C447,MO,Missouri,,,,,,
SKU184,Components,,C448,CO,Colorado,,,,,,
SKU185,Accessories,,C449,LA,Louisiana,,,,,,
SKU186,Accessories,,C450,KY,Kentucky,,,,,,
SKU187,Accessories,,C451,NY,New York,,,,,,
SKU188,Accessories,,C452,SC,South Carolina,,,,,,
SKU189,Accessories,,C453,AL,Alabama,,,,,,
SKU190,Accessories,,C454,OH,Ohio,,,,,,
SKU191,Accessories,,C455,FL,Florida,,,,,,
SKU192,Components,,C456,NH,New Hampshire,,,,,,
SKU193,Accessories,,C457,NY,New York,,,,,,
SKU194,Bikes,,C458,ID,Idaho,,,,,,
SKU195,Components,,C459,UT,Utah,,,,,,
SKU196,Components,,C460,NC,North Carolina,,,,,,
SKU197,Accessories,,C461,AZ,Arizona,,,,,,
SKU198,Components,,C462,MA,Massachusetts,,,,,,
SKU199,Accessories,,C463,WV,West Virginia,,,,,,
SKU200,Accessories,,C464,KY,Kentucky,,,,,,
SKU201,Components,,C465,NH,New Hampshire,,,,,,
SKU202,Components,,C466,MO,Missouri,,,,,,
SKU203,Components,,C467,SC,South Carolina,,,,,,
SKU204,Components,,C468,MI,Michigan,,,,,,
SKU205,Components,,C469,CT,Connecticut,,,,,,
SKU206,Components,,C470,UT,Utah,,,,,,
SKU207,Bikes,,C471,ME,Maine,,,,,,
SKU208,Components,,C472,UT,Utah,,,,,,
SKU209,Clothing,,C473,NM,New Mexico,,,,,,
SKU210,Components,,C474,TN,Tennessee,,,,,,
SKU211,Accessories,,C475,OK,Oklahoma,,,,,,
SKU212,Components,,C476,CT,Connecticut,,,,,,
SKU213,Accessories,,C477,TN,Tennessee,,,,,,
SKU214,Clothing,,C478,WV,West Virginia,,,,,,
SKU215,Components,,C479,MN,Minnesota,,,,,,
SKU216,Accessories,,C480,MA,Massachusetts,,,,,,
SKU217,Components,,C481,NJ,New Jersey,,,,,,
SKU218,Components,,C482,GA,Georgia,,,,,,
SKU219,Components,,C483,NM,New Mexico,,,,,,
SKU220,Components,,C484,NM,New Mexico,,,,,,
SKU221,Bikes,,C485,OH,Ohio,,,,,,
SKU222,Bikes,,C486,VT,Vermont,,,,,,
SKU223,Bikes,,C487,NM,New Mexico,,,,,,
SKU224,Bikes,,C488,KY,Kentucky,,,,,,
SKU225,Components,,C489,MI,Michigan,,,,,,
SKU226,Bikes,,C490,DE,Delaware,,,,,,
SKU227,Bikes,,C491,WV,West Virginia,,,,,,
SKU228,Bikes,,C492,FL,Florida,,,,,,
SKU229,Components,,C493,MA,Massachusetts,,,,,,
SKU230,Bikes,,C494,WV,West Virginia,,,,,,
SKU231,Bikes,,C495,TN,Tennessee,,,,,,
SKU232,Bikes,,C496,DE,Delaware,,,,,,
SKU233,Bikes,,C497,LA,Louisiana,,,,,,
SKU234,Bikes,,C498,VA,Virginia,,,,,,
SKU235,Bikes,,C499,DE,Delaware,,,,,,
